fro_norm,rank,s_min,s_max,cond,mean_|σ-1|,max_|σ-1|,orthogonality_error_rel,symmetry_error_rel,idempotency_error_rel,rel_Fro(||W-I||),trace,trace_minus_rank_abs,eig_imag_max_abs,eig_real_min,eig_real_max,dataset,shots
31.98747728344955,1024,0.5195564282520904,1.1238270256008605,2.1630509497913017,0.005681295363162547,0.48044357174790964,0.0013418523725274257,0.035888350635205284,0.02579557255045929,0.029314582796365753,1023.1314382553101,0.8685617446899414,0.03729442035572379,0.5275011092457426,1.0227569048881098,caltech101,1
31.957046862155575,1024,0.17655025456897258,1.1951075147823869,6.7692200031096315,0.013345039608160459,0.8234497454310274,0.0024548972884386976,0.06949579067490193,0.047755322887579166,0.0562444673655235,1020.9039289355278,3.0960710644721985,0.07317100386888938,0.17785029666736812,1.055838841875664,caltech101,4
31.931229730124276,1024,0.10413193376684068,1.2944579707279706,12.430941440368912,0.018380887801758786,0.8958680662331593,0.0031308436117681356,0.0886937930867902,0.06128651520820165,0.0706668314897544,1019.082591354847,4.917408645153046,0.08318242806034266,0.10483575050593569,1.0699229321913553,caltech101,8
31.866253661682954,1024,0.04889660952003879,1.4181317849067738,29.002660896674147,0.028888554988001497,0.9511033904799612,0.004530288501298636,0.12758495103686196,0.08663020242155903,0.10092634773415532,1014.1827147006989,9.817285299301147,0.11997166356333207,0.049206983003635615,1.0832326393023664,caltech101,16
31.981438321810415,1024,0.361495086365856,1.130800142266513,3.128120367096972,0.005968189484648046,0.6385049136341441,0.0015861233659857279,0.04243751705352431,0.029685852869944417,0.03586677038968335,1022.7057400345802,1.2942599654197693,0.06671648049469607,0.36409824272954305,1.0153691458048661,dtd,1
32.00300166685872,1024,0.14731495911077905,1.2821040610696532,8.703149149337419,0.012767118649584174,0.8526850408892209,0.0029059523587839638,0.08506242690468241,0.05790499395119638,0.06588520028073967,1021.7324597835541,2.267540216445923,0.09638290139791193,0.1487236529214755,1.0568627575081146,dtd,4
31.985558117789644,1024,0.07435752068218193,1.3378327496596019,17.991895606333504,0.01743725717649469,0.9256424793178181,0.0036904003067682965,0.10782615074859979,0.07288943929774307,0.08280958269134202,1019.8040950596333,4.195904940366745,0.10578212284737146,0.07489896038632096,1.078146119533784,dtd,8
31.91667229240552,1024,0.03266780695927994,1.4660245304518853,44.87673544414134,0.027962592940346528,0.96733219304072,0.005341492775400213,0.15287483673868896,0.09988701222179168,0.1179994879962179,1013.7554329037666,10.244567096233368,0.1778197998165662,0.03289801167198203,1.0744503592838819,dtd,16
31.987354731004867,1024,0.3627612827871748,1.1697764461456668,3.224645246477289,0.002768225120641208,0.6372387172128252,0.0013403935687274105,0.03214138556573996,0.02322815328109639,0.029981988340788097,1023.10596960783,0.8940303921699524,0.02828518236468657,0.3630705495603822,1.0005654615722088,eurosat,1
32.006301204567684,1024,0.18102054235960982,1.3270938497373514,7.331178177010362,0.005220443478368114,0.8189794576403902,0.0023087696911797827,0.062712205230338,0.043597839342329144,0.05095175023564519,1022.7880923748016,1.2119076251983643,0.06761500781630667,0.18149697664413544,1.0296722605054658,eurosat,4
32.02983794551403,1024,0.11972853245396486,1.503041166449946,12.553742501002082,0.006714868532018322,0.8802714675460351,0.0031144735322377617,0.08500943548604027,0.057537543670833316,0.06590216860322108,1022.5904437303543,1.409556269645691,0.10416261746452811,0.12019670443019168,1.0466811712879873,eurosat,8
32.04695652306642,1024,0.03856258497919151,1.5943132595916092,41.34352664511224,0.00793661149288672,0.9614374150208085,0.003728755944291885,0.09784854678569656,0.0685307977565876,0.07540799643651253,1022.4074849486351,1.5925150513648987,0.1389353783395992,0.038863155708998814,1.0969755114753021,eurosat,16
31.9412537202224,1024,0.10487346741842149,1.278679594345654,12.19259385449716,0.013750270417279865,0.8951265325815785,0.002757415337681191,0.07736257515135725,0.05235810811724365,0.06340728714213578,1019.9326910376549,4.067308962345123,0.06508035724335655,0.105571475460107,1.0361398533908281,fgvc_aircraft,1
